PERIOD,DIVISION_NAME,DEPT_GROUP_NAME,SALE_AMT,SALE_QTY,SALE_AMT_LY,SALE_QTY_LY
202607,02 HOME LINE,0240 HOME IMPROVEMEN,2612.15,27.0,3471.96,45.0
202607,02 HOME LINE,0230 RECREATION,4311.21,27.0,6617.76,12.0
202606,03 SOFT LINE,0370 PERSONAL CARE,20400.0,436.0,21151.41,462.0
202606,06 PHARMACY,0610 PRESCRIPTION,0.0,0.0,0.0,0.0
202604,04 DRY FOOD,0460 HBA,428.97,3.0,744.86,7.0
202606,04 DRY FOOD,0490 TOBACCO,0.0,0.0,3046028.04,5000.0
202603,04 DRY FOOD,0480 PETS,140398.87,2375.0,170663.79,2847.0
202604,04 DRY FOOD,0470 HOUSEHOLD,1088478.51,17517.0,1218750.1,19855.0
202604,04 DRY FOOD,0461 FACE & COSMETICS,279580.28,3722.0,305067.21,4028.0
202604,01 HARD LINE,0112 MAJOR APPLIANCE,708639.06,105.0,438493.46,71.0
202601,04 DRY FOOD,0440 BEVERAGE,2077375.14,31783.0,2266143.08,34661.0
202602,05 FRESH FOOD,0540 DELICATESSEN,332214.9,9081.09,228235.24,6281.25
202604,06 PHARMACY,0620 OVER THE COUNTER,1954.2,44.0,1385.05,24.0
202601,04 DRY FOOD,0490 TOBACCO,608205.61,1000.0,922547.29,1514.0
202606,04 DRY FOOD,0420 SWEETED GROCE.2,14415.88,319.0,13268.24,285.0
202604,05 FRESH FOOD,0540 DELICATESSEN,1979.44,95.0,870.09,37.0
202606,06 PHARMACY,0630 WELL BEING,910.28,5.0,1511.22,5.0
202603,04 DRY FOOD,0470 HOUSEHOLD,2057.01,30.0,3528.97,26.0
202605,04 DRY FOOD,0432 SALTED GROCERY_SME,5485.97,202.0,7510.26,283.0
202605,03 SOFT LINE,0314 LADIES ESSENTIAL,132134.91,914.0,92220.59,646.0
202601,06 PHARMACY,0630 WELL BEING,2177.57,9.0,1938.32,8.0
202606,04 DRY FOOD,0430 SALTED GROCERY,4328.97,41.0,4256.08,34.0
202605,05 FRESH FOOD,0570 FROZEN,189026.13,3564.0,181759.62,3526.0
202604,05 FRESH FOOD,0520 SEAFOOD,0.0,0.0,0.0,0.0
202607,05 FRESH FOOD,0510 BUTCHERY,38299.12,383.57,53980.81,536.56
202605,04 DRY FOOD,0440 BEVERAGE,4057.01,95.0,2236.46,52.0
202604,03 SOFT LINE,0320 MEN'S APPAREL,183444.81,705.0,95358.14,566.0
202602,02 HOME LINE,0210 HOUSEWARE,496287.55,6319.0,555994.4,6380.0
202602,01 HARD LINE,0120 HOME ENTERTAIN,351137.39,110.0,299782.24,104.0
202601,04 DRY FOOD,0460 HBA,1781.31,13.0,1023.36,8.0
202603,04 DRY FOOD,0490 TOBACCO,0.0,0.0,1675315.42,2750.0
202606,05 FRESH FOOD,0540 DELICATESSEN,1516.82,68.0,1155.15,50.0
202605,04 DRY FOOD,0470 HOUSEHOLD,1193.46,15.0,3226.17,22.0
202601,04 DRY FOOD,0470 HOUSEHOLD,1193412.14,19664.0,1712677.75,22853.0
202607,04 DRY FOOD,0432 SALTED GROCERY_SME,42.06,2.0,158.88,5.0
202601,04 DRY FOOD,0461 FACE & COSMETICS,296754.57,4001.0,324871.85,4083.0
